institute,model,component,property,value
CNRM-CERFACS,CNRM-CM5,Land Surface,Standard Properties > Long Name,"""SURface EXternalisee"" in French (Externalized surface platform) for land"
MRI,MRI-AGCM3.2H,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Cloud Scheme Attributes > Processes,-
MRI,MRI-AGCM3.2S,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Cloud Scheme Attributes > Processes,-
MRI,MRI-AGCM3.2S,Atmosphere > Dynamical Core,Scientific Properties > Horizontal Discretization > Scheme Order,-
MRI,MRI-CGCM3,Atmosphere > Dynamical Core,Scientific Properties > Horizontal Discretization > Scheme Order,-
MRI,MRI-AGCM3.2H,Atmosphere > Dynamical Core,Scientific Properties > Horizontal Discretization > Scheme Order,-
MRI,MRI-CGCM3,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Scientific Properties > Cloud Scheme Attributes > Processes,-
MRI,MRI-AGCM3.2H,Atmosphere > Dynamical Core > Advection,Standard Properties > Description,"- Tracers / SchemeName : vertically conservative semi-Lagrangian scheme 
( Yoshimura (in preparation) , Yoshimura and Matsumura (2003,2005) and Yukimoto et al. (2011) )
- Momentum / Scheme Name: vertically conservative semi-Lagrangian scheme 
- Momentum / Scheme Characteristics : 5th order in horizontal, 3rd order in vertical"
MRI,MRI-AGCM3.2S,Atmosphere > Dynamical Core > Advection,Standard Properties > Description,"- Tracers / SchemeName : vertically conservative semi-Lagrangian scheme 
( Yoshimura (in preparation) , Yoshimura and Matsumura (2003,2005) and Yukimoto et al. (2011) )
- Momentum / Scheme Name: vertically conservative semi-Lagrangian scheme 
- Momentum / Scheme Characteristics : 5th order in horizontal, 3rd order in vertical"
MRI,MRI-CGCM3,Atmosphere > Dynamical Core > Advection,Standard Properties > Description,"- Tracers / SchemeName : vertically conservative semi-Lagrangian scheme 
( Yoshimura (in preparation) , Yoshimura and Matsumura (2003,2005) and Yukimoto et al. (2011) )
- Momentum / Scheme Name: vertically conservative semi-Lagrangian scheme 
- Momentum / Scheme Characteristics : 5th order in horizontal, 3rd order in vertical"
MRI,MRI-ESM1,Atmosphere > Dynamical Core > Advection,Standard Properties > Description,"- Tracers / SchemeName : vertically conservative semi-Lagrangian scheme 
( Yoshimura (in preparation) , Yoshimura and Matsumura (2003,2005) and Yukimoto et al. (2011) )
- Momentum / Scheme Name: vertically conservative semi-Lagrangian scheme 
- Momentum / Scheme Characteristics : 5th order in horizontal, 3rd order in vertical"
MOHC,HADCM3,Ocean,Scientific Properties > Sea Water > Freezing Point Value,-1.8
